,Class,Accuracy
0,archery_kid,0.8999999761581421
1,bouncing on trampoline_kid,0.6393442749977112
2,bowling_kid,0.699999988079071
3,cartwheeling_kid,0.29032257199287415
4,catching or throwing baseball_kid,0.2142856866121292
5,catching or throwing frisbee_kid,0.5
6,catching or throwing softball_kid,0.1666666716337204
7,dribbling basketball_kid,0.3214285671710968
8,dunking basketball_kid,0.27272728085517883
9,hitting baseball_kid,0.3125
10,juggling soccer ball_kid,0.6206896305084229
11,kicking soccer ball_kid,0.34210526943206787
12,parkour_kid,0.125
13,playing badminton_kid,0.4444443881511688
14,playing basketball_kid,0.07692307978868484
15,playing cricket_kid,0.4285714328289032
16,playing tennis_kid,0.699999988079071
17,playing volleyball_kid,0.13333334028720856
18,shooting basketball_kid,0.4444444179534912
19,somersaulting_kid,0.5106382966041565
20,water skiing_kid,1.0
